date,month,project_name,project_size,team_name,developer_name,developer_count,repository_name,commits,pull_requests,merge_conflicts,issues_resolved,bugs_reported,lines_added,lines_deleted
2025-02-20,2025-02,CommerceCore,Large,DevOps,Andi Kusuma,18,commercecore-platform,11,1,1,2,2,971,467
2025-02-20,2025-02,CommerceCore,Large,Frontend,Alya Basuki,18,commercecore-storefront,12,4,1,8,2,1622,1034
2025-02-20,2025-02,HealthTrack,Large,Backend,Fikri Santoso,22,healthtrack-api,9,5,0,4,0,1063,600
2025-02-20,2025-02,HealthTrack,Large,Data,Bima Wijaya,22,healthtrack-models,11,4,2,6,3,1367,578
2025-02-20,2025-02,InventoryHub,Medium,Data,Salsa Yuliani,9,inventoryhub-reporting,7,5,1,4,1,647,261
2025-02-20,2025-02,LogisticsOS,Large,DevOps,Andi Pratama,26,logisticsos-infra,6,3,0,2,2,846,461
2025-02-20,2025-02,SupportSuite,Medium,DevOps,Gita Ramadhan,10,supportsuite-ops,9,2,0,1,1,1461,684
2025-02-21,2025-02,AuthFlow,Small,Backend,Arif Kusuma,4,authflow-api,15,4,0,3,1,392,204
2025-02-21,2025-02,CampusPay,Small,Backend,Alya Lestari,5,campuspay-api,15,6,0,4,3,871,290
2025-02-21,2025-02,CommerceCore,Large,Mobile,Rani Santoso,18,commercecore-mobile,11,4,0,3,1,1875,654
2025-02-21,2025-02,FinSight,Large,Data,Alya Pratama,20,finsight-pipeline,10,4,0,3,2,849,434
2025-02-21,2025-02,LogisticsOS,Large,Backend,Laras Hartono,26,logisticsos-api,9,5,2,3,3,1992,857
2025-02-21,2025-02,LogisticsOS,Large,Mobile,Gita Wijaya,26,logisticsos-driver,8,4,0,4,1,856,501
2025-02-21,2025-02,SupportSuite,Medium,Data,Joko Adinata,10,supportsuite-insights,13,3,0,8,3,1016,545
2025-02-22,2025-02,CommerceCore,Large,Data,Putri Wijaya,18,commercecore-warehouse,6,3,1,5,1,854,520
2025-02-22,2025-02,CommerceCore,Large,DevOps,Gita Permata,18,commercecore-platform,16,4,0,4,1,2508,770
2025-02-22,2025-02,FinSight,Large,Data,Hana Hartono,20,finsight-pipeline,7,4,1,3,1,1041,523
2025-02-22,2025-02,HealthTrack,Large,Frontend,Putri Santoso,22,healthtrack-clinic,3,1,0,0,1,227,117
2025-02-22,2025-02,HealthTrack,Large,Mobile,Raka Hartono,22,healthtrack-mobile,10,5,2,3,0,2008,628
2025-02-22,2025-02,InventoryHub,Medium,Backend,Fikri Ramadhan,9,inventoryhub-api,8,6,1,5,0,1069,293
2025-02-23,2025-02,CommerceCore,Large,Mobile,Karina Santoso,18,commercecore-mobile,9,6,1,2,0,1423,665
2025-02-23,2025-02,FinSight,Large,DevOps,Hana Pratama,20,finsight-platform,7,3,0,2,4,1562,440
